model,erc_type,learning_rate,epochs,batch_size,avg_iterations_erc1155_none,avg_time_erc1155_none,verification_rate_erc1155_none,overall_verification_rate,overall_avg_time,overall_avg_iterations
4o-mini,base,0.0,0,0,10.0,319.9581855297089,0.0,0.0,319.9581855297089,10.0
erc-1155-001-3-16,erc1155,0.001,3,16,5.5,173.26864130496978,0.6,0.6,173.26864130496978,5.5
erc-1155-001-5-16,erc1155,0.001,5,16,6.2,3158.535733985901,0.5,0.5,3158.535733985901,6.2
erc-1155-001-7-16,erc1155,0.001,7,16,9.3,1720.0253734350204,0.0,0.0,1720.0253734350204,9.3
erc-1155-005-3-16,erc1155,0.005,3,16,8.7,3117.7177752971647,0.2,0.2,3117.7177752971647,8.7
erc-1155-005-5-16,erc1155,0.005,5,16,10.0,245.0676204919815,0.0,0.0,245.0676204919815,10.0
erc-1155-005-7-16,erc1155,0.005,7,16,9.2,218.4296261548996,0.0,0.0,218.4296261548996,9.2
erc-1155-010-3-16,erc1155,0.01,3,16,10.0,233.13596296310425,0.0,0.0,233.13596296310425,10.0
erc-1155-010-5-16,erc1155,0.01,5,16,8.6,188.55116312503816,0.1,0.1,188.55116312503816,8.6
erc-1155-010-7-16,erc1155,0.01,7,16,9.8,212.90439779758452,0.0,0.0,212.90439779758452,9.8
