model,erc_type,learning_rate,epochs,batch_size,avg_iterations_erc721_none,avg_time_erc721_none,verification_rate_erc721_none,overall_verification_rate,overall_avg_time,overall_avg_iterations
4o-mini,base,0.0,0,0,8.5,433.248277592659,0.3,0.3,433.248277592659,8.5
erc-1155-001-3-16,erc1155,0.001,3,16,8.2,282.35326652526857,0.3,0.3,282.35326652526857,8.2
erc-1155-001-5-16,erc1155,0.001,5,16,8.7,317.9771935224533,0.3,0.3,317.9771935224533,8.7
erc-1155-001-7-16,erc1155,0.001,7,16,9.5,376.54215652942656,0.1,0.1,376.54215652942656,9.5
erc-1155-005-3-16,erc1155,0.005,3,16,9.8,399.0650745630264,0.1,0.1,399.0650745630264,9.8
erc-1155-005-5-16,erc1155,0.005,5,16,10.0,253.00987043380738,0.0,0.0,253.00987043380738,10.0
erc-1155-005-7-16,erc1155,0.005,7,16,8.3,218.18202004432678,0.0,0.0,218.18202004432678,8.3
erc-1155-010-3-16,erc1155,0.01,3,16,9.0,244.21443984508514,0.0,0.0,244.21443984508514,9.0
erc-1155-010-5-16,erc1155,0.01,5,16,10.0,271.88993949890136,0.0,0.0,271.88993949890136,10.0
erc-1155-010-7-16,erc1155,0.01,7,16,10.0,262.6734430074692,0.0,0.0,262.6734430074692,10.0
