model,erc_type,learning_rate,epochs,batch_size,avg_iterations_erc1155_none,avg_time_erc1155_none,verification_rate_erc1155_none,overall_verification_rate,overall_avg_time,overall_avg_iterations
4o-mini,base,0.0,0,0,10.0,319.9581855297089,0.0,0.0,319.9581855297089,10.0
erc-1155-001-3-16,erc1155,0.001,3,16,3.8,130.8611646413803,0.7,0.7,130.8611646413803,3.8
erc-1155-001-5-16,erc1155,0.001,5,16,4.0,129.18745143413543,0.7,0.7,129.18745143413543,4.0
erc-1155-001-7-16,erc1155,0.001,7,16,10.0,235.9989825963974,0.0,0.0,235.9989825963974,10.0
erc-1155-005-3-16,erc1155,0.005,3,16,10.0,599.2035778522492,0.0,0.0,599.2035778522492,10.0
erc-1155-005-5-16,erc1155,0.005,5,16,10.0,243.10460169315337,0.0,0.0,243.10460169315337,10.0
erc-1155-005-7-16,erc1155,0.005,7,16,10.0,228.7779240131378,0.0,0.0,228.7779240131378,10.0
erc-1155-010-3-16,erc1155,0.01,3,16,9.2,215.76204497814177,0.0,0.0,215.76204497814177,9.2
erc-1155-010-5-16,erc1155,0.01,5,16,8.1,178.48732776641845,0.1,0.1,178.48732776641845,8.1
erc-1155-010-7-16,erc1155,0.01,7,16,10.0,272.7865723848343,0.0,0.0,272.7865723848343,10.0
