model,erc_type,learning_rate,epochs,batch_size,avg_iterations_erc1155_none,avg_time_erc1155_none,verification_rate_erc1155_none,overall_verification_rate,overall_avg_time,overall_avg_iterations
4o-mini,base,0.0,0,0,31.9,842.1562853097915,0.0,0.0,842.1562853097915,31.9
erc-1155-001-3-16,erc1155,0.001,3,16,11.1,291.7939572095871,0.8,0.8,291.7939572095871,11.1
erc-1155-001-5-16,erc1155,0.001,5,16,11.2,284.1184440612793,0.6,0.6,284.1184440612793,11.2
erc-1155-001-7-16,erc1155,0.001,7,16,19.6,370.39847524166106,0.4,0.4,370.39847524166106,19.6
erc-1155-005-3-16,erc1155,0.005,3,16,32.6,673.1885904788971,0.0,0.0,673.1885904788971,32.6
erc-1155-005-5-16,erc1155,0.005,5,16,27.5,728.8848520040513,0.1,0.1,728.8848520040513,27.5
erc-1155-005-7-16,erc1155,0.005,7,16,27.6,738.9068398237229,0.0,0.0,738.9068398237229,27.6
erc-1155-010-3-16,erc1155,0.01,3,16,21.3,504.8798729658127,0.0,0.0,504.8798729658127,21.3
erc-1155-010-5-16,erc1155,0.01,5,16,12.2,396.76595027446746,0.7,0.7,396.76595027446746,12.2
erc-1155-010-7-16,erc1155,0.01,7,16,19.8,351.4066613435745,0.2,0.2,351.4066613435745,19.8
