contract_type,context,best_model,best_rate
erc1155,erc1155,"4o_mini_erc1155, 4o_mini_erc20_721_1155, 4o_mini_erc721_1155",1.0
erc1155,erc20,4o_mini_erc20_721_1155,0.2
erc1155,"erc20,erc1155","4o_mini_erc1155, 4o_mini_erc20, 4o_mini_erc721_1155",1.0
erc1155,"erc20,erc721",4o_mini_erc20_721_1155,0.3
erc1155,"erc20,erc721,erc1155","4o_mini_erc1155, 4o_mini_erc20, 4o_mini_erc20_721_1155, 4o_mini_erc721_1155",1.0
erc1155,erc721,4o_mini_erc20_721_1155,0.2
erc1155,"erc721,erc1155","4o_mini_erc20_721_1155, 4o_mini_erc721_1155",1.0
erc1155,none,4o_mini_erc20_721_1155,0.1
erc20,erc1155,"4o_mini, 4o_mini_erc20_721",0.5
erc20,erc20,"4o_mini, 4o_mini_erc20_721, 4o_mini_erc20_721_1155",1.0
erc20,"erc20,erc1155","4o_mini, 4o_mini_erc20_721, 4o_mini_erc20_721_1155",1.0
erc20,"erc20,erc721","4o_mini, 4o_mini_erc20_721, 4o_mini_erc20_721_1155",1.0
erc20,"erc20,erc721,erc1155",4o_mini_erc20_721_1155,1.0
erc20,erc721,"4o_mini, 4o_mini_erc20_721, 4o_mini_erc20_721_1155",0.8
erc20,"erc721,erc1155","4o_mini, 4o_mini_erc20_721",0.5
erc20,none,4o_mini_erc20_721_1155,0.5
erc721,erc1155,4o_mini_erc20_721_1155,0.1
erc721,erc20,4o_mini_erc20_721_1155,0.7
erc721,"erc20,erc1155",4o_mini_erc20_721_1155,0.3
erc721,"erc20,erc721","4o_mini_erc20_1155, 4o_mini_erc20_721_1155, 4o_mini_erc721, 4o_mini_erc721_1155",1.0
erc721,"erc20,erc721,erc1155","4o_mini_erc20_1155, 4o_mini_erc20_721_1155, 4o_mini_erc721, 4o_mini_erc721_1155",1.0
erc721,erc721,"4o_mini_erc20, 4o_mini_erc20_1155, 4o_mini_erc20_721_1155, 4o_mini_erc721, 4o_mini_erc721_1155",1.0
erc721,"erc721,erc1155","4o_mini_erc20, 4o_mini_erc20_721_1155, 4o_mini_erc721",1.0
erc721,none,4o_mini_erc20_721,0.4
