run,time_taken,iterations,verified,annotated_contract,function_status,status,threads
1,588.3896920681,33,False,"pragma solidity >= 0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition true
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition _balances[_to] == __verifier_old_uint(_balances[_to]) + _value || _to == msg.sender
    /// @notice postcondition _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value || _to == msg.sender
    /// @notice postcondition _totalSupply == __verifier_old_uint(_totalSupply) || _value == 0
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition true
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Failed', 'transfer': 'Verified', 'transferFrom': 'Failed', 'approve': 'Failed', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_E20KXJjQErU3DzuA4ytGqM4q', 'thread_TNeBDUrmtFptb1tkcLOF9VBU', 'thread_914Uppxs5E2M2ncuH5AI4qPJ', 'thread_htItqoGQ44ISGeGY6dkhsyCn', 'thread_GIxAGscPmpDrJzkvnBR0dV9O', 'thread_9km0hN4NQeazqZDCF1qVgx9Z']"
2,479.1758768558502,31,False,"pragma solidity >= 0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition true
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition true
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition _balances[_from] == __verifier_old_uint(_balances[_from]) - _value || _balances[_from] == __verifier_old_uint(_balances[_from])
    /// @notice postcondition _balances[_to] == __verifier_old_uint(_balances[_to]) + _value || _balances[_to] == __verifier_old_uint(_balances[_to])
    /// @notice postcondition forall (address addr) !(addr == _from && addr == _to) || _balances[addr] == __verifier_old_uint(_balances[addr])
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition _allowed[msg.sender][_spender] == _value
    /// @notice postcondition forall (address addr) !(msg.sender == addr) || _allowed[addr][_spender] == __verifier_old_uint(_allowed[addr][_spender]) || (msg.sender == addr && _allowed[addr][_spender] == _value)
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Failed', 'transfer': 'Failed', 'transferFrom': 'Verified', 'approve': 'Verified', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_Ui28fsSL4mUKzvZlskMGJcAI', 'thread_RdCv8fRerPM1s3f93QKwTri7', 'thread_gvOwg2kd4W5Jjm1BdeNYih59', 'thread_miY6v7zMtnAe8czEy9bqXouH', 'thread_hE2Smbj2e4ERx2qd7fdn9w10', 'thread_umBAGOMajKfEhHru1OnjN17j']"
3,620.8152546882629,38,False,"pragma solidity >= 0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition true
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition true
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition _allowed[msg.sender][_spender] == _value || __verifier_old_uint(_allowed[msg.sender][_spender]) == _allowed[msg.sender][_spender]
    /// @notice postcondition forall (address addr) !(addr != msg.sender) || _allowed[addr][_spender] == __verifier_old_uint(_allowed[addr][_spender])
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Failed', 'transfer': 'Failed', 'transferFrom': 'Failed', 'approve': 'Verified', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_TjoWsJC7YqH9p4jMj858JTJj', 'thread_r4DDfljQ3x3cYAGiwHhL3wtz', 'thread_FWsyhbhll2kSXzY38dTl8td5', 'thread_j4cWddb8qsCfjmGJCDJAgIwX', 'thread_cEDZhE7rvWa6PB9E57D8XUow', 'thread_iJkELwNSBbBfPjXaLbcqpWLR']"
4,440.8498167991638,28,False,"pragma solidity >= 0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition true
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition _to != msg.sender || __verifier_old_uint(_balances[msg.sender]) == _balances[msg.sender]
    /// @notice postcondition _to != msg.sender || __verifier_old_uint(_balances[msg.sender]) >= _value || _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender])
    /// @notice postcondition _to != msg.sender || __verifier_old_uint(_balances[_to]) == _balances[_to]
    /// @notice postcondition _to == msg.sender || __verifier_old_uint(_balances[_to]) + (_to != msg.sender ? _value : 0) == _balances[_to]
    /// @notice postcondition forall (address addr) !(addr == _to && addr == msg.sender) || __verifier_old_uint(_balances[addr]) == _balances[addr]
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition _allowed[msg.sender][_spender] == _value
    /// @notice postcondition forall (address addr) !(msg.sender == addr) || _allowed[addr][_spender] == __verifier_old_uint(_allowed[addr][_spender]) || _allowed[addr][_spender] == _value
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Failed', 'transfer': 'Verified', 'transferFrom': 'Failed', 'approve': 'Verified', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_gkHXc54df3sCdFcKbn55X3if', 'thread_BdXbiLe3zy60vIQysFCu9yfk', 'thread_s81nzAxjsf9xyVnShJQIJPuU', 'thread_UthuD8izMPUmSgBahlJDuC1N', 'thread_ZPG9jjmMPdMn2Mha8Jf31y97', 'thread_ZisDlzr9Rwlp4YrmSuylanCy']"
5,396.2535569667816,29,False,"pragma solidity >= 0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition true
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition _balances[_to] == __verifier_old_uint(_balances[_to]) + _value || _to == msg.sender
    /// @notice postcondition _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value || _value == 0 || _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender])
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition _allowed[msg.sender][_spender] == _value
    /// @notice postcondition forall (address addr) !(msg.sender == addr) || _allowed[addr][_spender] == __verifier_old_uint(_allowed[addr][_spender]) || _allowed[addr][_spender] == _value
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Failed', 'transfer': 'Verified', 'transferFrom': 'Failed', 'approve': 'Verified', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_i0B8tavG7q2OMDLfZSPrrnG5', 'thread_Zzsyfe2IzcqJBwK5VHYpjxni', 'thread_HYkgeVpnKRSjIF5V9Y1bEv4r', 'thread_Cev7C6yaArRXIep1LaPo4uDA', 'thread_wUP7R4YBcsnh4UwM47a3cnu6', 'thread_kIuBUQ9u82EcOmrgmO35IhdY']"
6,702.361976146698,42,False,"pragma solidity >= 0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition true
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition true
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition true
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Failed', 'transfer': 'Failed', 'transferFrom': 'Failed', 'approve': 'Failed', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_Vv5PJ6xXzQEYAVB33uA3bxPn', 'thread_fQI2aQ6uISATHTrknA7R6uuv', 'thread_xhoUjOldZryZe0Bt79hIPnz3', 'thread_MFTHqR6ETKR0817qr34fOWdG', 'thread_1foEeZowMQpyXMdKNBPha2JA', 'thread_knqrrkKhEjrm2X4O3jfQjlGM']"
7,672.471920967102,42,False,"pragma solidity >= 0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition true
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition true
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition true
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Failed', 'transfer': 'Failed', 'transferFrom': 'Failed', 'approve': 'Failed', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_nFZsJXTJmQcHfab6sDHcwht2', 'thread_Kq4qVIhIXNjQPzqFlICoyu0v', 'thread_rwJQ2KVDmyXBdOrAvyzd2N5H', 'thread_0qP3mBH5OBiZ57C1ig8tg8xv', 'thread_nHHMxVS4HMgbPxnK7Y5ALHnX', 'thread_hajp8657rO1oZroJosWC8hMX']"
8,449.28347158432007,25,False,"pragma solidity >= 0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition supply == _totalSupply
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition _balances[_to] == __verifier_old_uint(_balances[_to]) + _value || _to == msg.sender
    /// @notice postcondition _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value || _to == msg.sender
    /// @notice postcondition _totalSupply == __verifier_old_uint(_totalSupply) || _value == 0
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition true
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Verified', 'transfer': 'Verified', 'transferFrom': 'Failed', 'approve': 'Failed', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_Nc8M735vPuxPJluXwFZwl3Va', 'thread_UNQBwwcbwapqsRYKf2STsT5u', 'thread_oDEJUsG03lXuwW2oLuPD7C03', 'thread_DKSTr4LXTlbapD6qB4OJlTvv', 'thread_rVCbtpWLFBlvREdumTK5Guw8', 'thread_O7Rw02uW9LEsmyzxMOCJeMYP']"
9,952.7755987644196,24,False,"pragma solidity >= 0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition true
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition _balances[_to] == __verifier_old_uint(_balances[_to]) + _value || _to == msg.sender
    /// @notice postcondition _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value || _to == msg.sender
    /// @notice postcondition _totalSupply == __verifier_old_uint(_totalSupply) || _value == 0
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition _balances[_from] == __verifier_old_uint(_balances[_from]) - _value || _from == _to
    /// @notice postcondition _balances[_to] == __verifier_old_uint(_balances[_to]) + _value || _from == _to
    /// @notice postcondition forall (address addr) _allowed[addr][_from] == __verifier_old_uint(_allowed[addr][_from]) || addr == msg.sender
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition true
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Failed', 'transfer': 'Verified', 'transferFrom': 'Verified', 'approve': 'Failed', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_Sq3N6xkAhOJMb5GQW9IdkaHF', 'thread_QKtjOXJq5KjPQD5HxM8OiKcb', 'thread_4gVKdn90yHwocSHODWJqQBsx', 'thread_Uw8FezMh5msBEbqFYPLZ6wLh', 'thread_JlqdHwEbBAVOfnGJqcohBgZs', 'thread_ajdKbTalqP316LCRVi9Dy80C']"
10,359.18741369247437,24,False,"pragma solidity >= 0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition true
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition _balances[_to] == __verifier_old_uint(_balances[_to]) + _value || _to == msg.sender
    /// @notice postcondition _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value || _to == msg.sender
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition _allowed[msg.sender][_spender] == _value
    /// @notice postcondition _allowed[msg.sender][_spender] == __verifier_old_uint(_allowed[msg.sender][_spender]) || _allowed[msg.sender][_spender] == _value
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Failed', 'transfer': 'Verified', 'transferFrom': 'Failed', 'approve': 'Verified', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_zUpvlXTKyZKW1RfLRcuCzzM3', 'thread_Ca1dMSl6FEWC2DRHlHI3Row2', 'thread_jbUQrBNaQB5IuR6bE6548uin', 'thread_iRQxvv0s55UTimmINFkBOHxz', 'thread_aTNfgwalDdGPEyta5Bp08bWw', 'thread_NEGso6euAyVgIzw85yRyh2ov']"
