run,time_taken,iterations,verified,annotated_contract,status
1,217.5705108642578,10,False,,[]
2,226.91711688041687,10,False,,[]
3,280.40266728401184,10,False,,[]
4,176.37609243392944,10,False,,[]
5,228.38005948066711,10,False,,[]
6,282.94268560409546,10,False,,"[""Interaction: 2\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:116:5: Postcondition '_approved || __verifier_old_bool(_operatorApprovals[msg.sender][_operator])' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:116:5: Postcondition '__verifier_old_bool(_operatorApprovals[msg.sender][_operator]) || !_approved' might not hold at end of function.\nERC1155::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:126:5: Postcondition '_owner != address(0)' might not hold at end of function.\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:140:5: Postcondition '_value <= _balances[_id][_from]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:140:5: Postcondition '_from == address(0) || _balances[_id][_from] - _value == __verifier_old_uint(_balances[_id][_from])' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:140:5: Postcondition '_from != _to' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:165:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || _balances[_ids[i]][_from] >= _values[i]' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 3\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:115:5: Postcondition '_approved || __verifier_old_bool(_operatorApprovals[msg.sender][_operator])' might not hold at end of function.\nERC1155::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:125:5: Postcondition '_owner != address(0)' might not hold at end of function.\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from == address(0) || _balances[_id][_from] - _value == __verifier_old_uint(_balances[_id][_from]) || _from == address(0)' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_value <= _balances[_id][_from] || _from == address(0)' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:160:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || _balances[_ids[i]][_from] >= _values[i] || _from == address(0)' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 4\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:115:5: Postcondition '_approved || __verifier_old_bool(_operatorApprovals[msg.sender][_operator]) || _operator == msg.sender' might not hold at end of function.\nERC1155::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:125:5: Postcondition '_owner != address(0)' might not hold at end of function.\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from == address(0) || _value <= _balances[_id][_from]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from == address(0) || _from != _to || _balances[_id][_from] - _value == __verifier_old_uint(_balances[_id][_from])' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from != _to || _from == address(0)' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:160:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || _from == address(0) || _balances[_ids[i]][_from] >= _values[i]' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 5\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:115:5: Postcondition '_approved || __verifier_old_bool(_operatorApprovals[msg.sender][_operator])' might not hold at end of function.\nERC1155::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:125:5: Postcondition '_owner != address(0)' might not hold at end of function.\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from == address(0) || _value <= _balances[_id][_from]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from == address(0) || (_from != _to) || (_balances[_id][_from] - _value == __verifier_old_uint(_balances[_id][_from]))' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from != _to || _from == address(0)' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:160:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || (_from == address(0) || _balances[_ids[i]][_from] >= _values[i])' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 6\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:115:5: Postcondition '__verifier_old_bool(_operatorApprovals[msg.sender][_operator]) || _approved' might not hold at end of function.\nERC1155::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:125:5: Postcondition '_owner != address(0)' might not hold at end of function.\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from == address(0) || _value <= _balances[_id][_from]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from == address(0) || (_from != _to) || (_balances[_id][_from] - _value == __verifier_old_uint(_balances[_id][_from]))' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from != _to || _from == address(0)' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:160:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || (_from == address(0) || _balances[_ids[i]][_from] >= _values[i])' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 7\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:115:5: Postcondition '_approved || !__verifier_old_bool(_operatorApprovals[msg.sender][_operator])' might not hold at end of function.\nERC1155::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:125:5: Postcondition '_owner != address(0)' might not hold at end of function.\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from == address(0) || _value <= _balances[_id][_from]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from == address(0) || (_from != _to) || (_balances[_id][_from] - _value == __verifier_old_uint(_balances[_id][_from]))' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from != _to || _from == address(0)' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:160:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || (_from == address(0) || _balances[_ids[i]][_from] >= _values[i])' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 8\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:115:5: Postcondition '_approved || __verifier_old_bool(_operatorApprovals[msg.sender][_operator]) ' might not hold at end of function.\nERC1155::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:125:5: Postcondition '_owner != address(0)' might not hold at end of function.\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from == address(0) || _value <= _balances[_id][_from] ' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from == address(0) || (_from != _to) || (_balances[_id][_from] - _value == __verifier_old_uint(_balances[_id][_from]))' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from != _to || _from == address(0)' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:160:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || (_from == address(0) || _balances[_ids[i]][_from] >= _values[i])' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 9\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:115:5: Postcondition '_approved || __verifier_old_bool(_operatorApprovals[msg.sender][_operator]) || _operator == msg.sender' might not hold at end of function.\nERC1155::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:125:5: Postcondition '_owner != address(0)' might not hold at end of function.\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from == address(0) || _value <= _balances[_id][_from] ' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from == address(0) || (_from != _to) || (_balances[_id][_from] - _value == __verifier_old_uint(_balances[_id][_from]))' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from != _to || _from == address(0)' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:160:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || (_from == address(0) || _balances[_ids[i]][_from] >= _values[i])' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 10\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:115:5: Postcondition '_approved || __verifier_old_bool(_operatorApprovals[msg.sender][_operator]) || _operator == msg.sender' might not hold at end of function.\nERC1155::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:125:5: Postcondition '_owner != address(0)' might not hold at end of function.\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from == address(0) || (_from != _to) || (_balances[_id][_from] - _value == __verifier_old_uint(_balances[_id][_from]))' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:135:5: Postcondition '_from == address(0) || _value <= _balances[_id][_from] ' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:160:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || (_from == address(0) || _balances[_ids[i]][_from] >= _values[i])' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n""]"
7,189.03781533241272,10,False,,[]
8,253.64102387428284,10,False,,[]
9,253.60827589035034,10,False,,[]
10,178.90299248695374,10,False,,[]
