run,status,output
1,251,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:30:5: Postcondition 'con._allowed[_owner][_spender] == remaining' might not hold at end of function.
Refinement::balanceOf_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:34:5: Postcondition 'con._balances[_owner] == balance' might not hold at end of function.
Refinement::approve_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:38:5: Postcondition '(con._allowed[msg.sender ][ _spender] ==  _value  &&  success) || ( con._allowed[msg.sender ][ _spender] ==  con_old._allowed[msg.sender ][ _spender] && !success )    ' might not hold at end of function.
Refinement::transfer_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:43:2: Postcondition '( ( con._balances[msg.sender] ==  con_old._balances[msg.sender] - _value  && msg.sender  != _to ) ||   ( con._balances[msg.sender] ==  con_old._balances[msg.sender] && msg.sender  == _to ) &&  success )   || !success' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:43:2: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  && msg.sender  != _to ) ||   ( con._balances[_to] ==  con_old._balances[_to] && msg.sender  == _to )  )   || !success' might not hold at end of function.
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition ' con._allowed[_from ][msg.sender]  <= con_old._allowed[_from ][msg.sender] ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] - _value && success) || ( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] && !success) ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( ( con._balances[_from] ==  con_old._balances[_from] - _value  &&  _from  != _to ) || ( con._balances[_from] ==  con_old._balances[_from] &&  _from == _to ) && success ) || !success ' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  &&  _from  != _to ) || ( con._balances[_to] ==  con_old._balances[_to] &&  _from  == _to ) && success ) || !success ' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
2,251,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:30:5: Postcondition 'con._allowed[_owner][_spender] == remaining' might not hold at end of function.
Refinement::balanceOf_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:34:5: Postcondition 'con._balances[_owner] == balance' might not hold at end of function.
Refinement::approve_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:38:5: Postcondition '(con._allowed[msg.sender ][ _spender] ==  _value  &&  success) || ( con._allowed[msg.sender ][ _spender] ==  con_old._allowed[msg.sender ][ _spender] && !success )    ' might not hold at end of function.
Refinement::transfer_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:44:2: Postcondition '( ( con._balances[msg.sender] ==  con_old._balances[msg.sender] - _value  && msg.sender  != _to ) ||   ( con._balances[msg.sender] ==  con_old._balances[msg.sender] && msg.sender  == _to ) &&  success )   || !success' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:44:2: Postcondition 'con._balances[msg.sender] >= 0' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:44:2: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  && msg.sender  != _to ) ||   ( con._balances[_to] ==  con_old._balances[_to] && msg.sender  == _to )  )   || !success' might not hold at end of function.
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:51:5: Postcondition ' con._allowed[_from ][msg.sender]  <= con_old._allowed[_from ][msg.sender] ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:51:5: Postcondition '( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] - _value && success) || ( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] && !success) ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:51:5: Postcondition '( ( con._balances[_from] ==  con_old._balances[_from] - _value  &&  _from  != _to ) || ( con._balances[_from] ==  con_old._balances[_from] &&  _from == _to ) && success ) || !success ' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:51:5: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  &&  _from  != _to ) || ( con._balances[_to] ==  con_old._balances[_to] &&  _from  == _to ) && success ) || !success ' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
3,251,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:30:5: Postcondition 'con._allowed[_owner][_spender] == remaining' might not hold at end of function.
Refinement::balanceOf_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:34:5: Postcondition 'con._balances[_owner] == balance' might not hold at end of function.
Refinement::approve_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:38:5: Postcondition '(con._allowed[msg.sender ][ _spender] ==  _value  &&  success) || ( con._allowed[msg.sender ][ _spender] ==  con_old._allowed[msg.sender ][ _spender] && !success )    ' might not hold at end of function.
Refinement::transfer_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:43:2: Postcondition '( ( con._balances[msg.sender] ==  con_old._balances[msg.sender] - _value  && msg.sender  != _to ) ||   ( con._balances[msg.sender] ==  con_old._balances[msg.sender] && msg.sender  == _to ) &&  success )   || !success' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:43:2: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  && msg.sender  != _to ) ||   ( con._balances[_to] ==  con_old._balances[_to] && msg.sender  == _to )  )   || !success' might not hold at end of function.
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition ' con._allowed[_from ][msg.sender]  <= con_old._allowed[_from ][msg.sender] ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] - _value && success) || ( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] && !success) ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( ( con._balances[_from] ==  con_old._balances[_from] - _value  &&  _from  != _to ) || ( con._balances[_from] ==  con_old._balances[_from] &&  _from == _to ) && success ) || !success ' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  &&  _from  != _to ) || ( con._balances[_to] ==  con_old._balances[_to] &&  _from  == _to ) && success ) || !success ' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
4,251,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:30:5: Postcondition 'con._allowed[_owner][_spender] == remaining' might not hold at end of function.
Refinement::balanceOf_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:34:5: Postcondition 'con._balances[_owner] == balance' might not hold at end of function.
Refinement::approve_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:38:5: Postcondition '(con._allowed[msg.sender ][ _spender] ==  _value  &&  success) || ( con._allowed[msg.sender ][ _spender] ==  con_old._allowed[msg.sender ][ _spender] && !success )    ' might not hold at end of function.
Refinement::transfer_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:43:2: Postcondition '( ( con._balances[msg.sender] ==  con_old._balances[msg.sender] - _value  && msg.sender  != _to ) ||   ( con._balances[msg.sender] ==  con_old._balances[msg.sender] && msg.sender  == _to ) &&  success )   || !success' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:43:2: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  && msg.sender  != _to ) ||   ( con._balances[_to] ==  con_old._balances[_to] && msg.sender  == _to )  )   || !success' might not hold at end of function.
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition ' con._allowed[_from ][msg.sender]  <= con_old._allowed[_from ][msg.sender] ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] - _value && success) || ( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] && !success) ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( ( con._balances[_from] ==  con_old._balances[_from] - _value  &&  _from  != _to ) || ( con._balances[_from] ==  con_old._balances[_from] &&  _from == _to ) && success ) || !success ' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  &&  _from  != _to ) || ( con._balances[_to] ==  con_old._balances[_to] &&  _from  == _to ) && success ) || !success ' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
5,251,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:30:5: Postcondition 'con._allowed[_owner][_spender] == remaining' might not hold at end of function.
Refinement::balanceOf_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:34:5: Postcondition 'con._balances[_owner] == balance' might not hold at end of function.
Refinement::approve_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:38:5: Postcondition '(con._allowed[msg.sender ][ _spender] ==  _value  &&  success) || ( con._allowed[msg.sender ][ _spender] ==  con_old._allowed[msg.sender ][ _spender] && !success )    ' might not hold at end of function.
Refinement::transfer_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:43:2: Postcondition '( ( con._balances[msg.sender] ==  con_old._balances[msg.sender] - _value  && msg.sender  != _to ) ||   ( con._balances[msg.sender] ==  con_old._balances[msg.sender] && msg.sender  == _to ) &&  success )   || !success' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:43:2: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  && msg.sender  != _to ) ||   ( con._balances[_to] ==  con_old._balances[_to] && msg.sender  == _to )  )   || !success' might not hold at end of function.
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  &&  _from  != _to ) || ( con._balances[_to] ==  con_old._balances[_to] &&  _from  == _to ) && success ) || !success ' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] - _value && success) || ( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] && !success) ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '( ( con._balances[_from] ==  con_old._balances[_from] - _value  &&  _from  != _to ) || ( con._balances[_from] ==  con_old._balances[_from] &&  _from == _to ) && success ) || !success ' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
6,251,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:30:5: Postcondition 'con._allowed[_owner][_spender] == remaining' might not hold at end of function.
Refinement::balanceOf_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:34:5: Postcondition 'con._balances[_owner] == balance' might not hold at end of function.
Refinement::approve_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:38:5: Postcondition '(con._allowed[msg.sender ][ _spender] ==  _value  &&  success) || ( con._allowed[msg.sender ][ _spender] ==  con_old._allowed[msg.sender ][ _spender] && !success )    ' might not hold at end of function.
Refinement::transfer_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:43:2: Postcondition '( ( con._balances[msg.sender] ==  con_old._balances[msg.sender] - _value  && msg.sender  != _to ) ||   ( con._balances[msg.sender] ==  con_old._balances[msg.sender] && msg.sender  == _to ) &&  success )   || !success' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:43:2: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  && msg.sender  != _to ) ||   ( con._balances[_to] ==  con_old._balances[_to] && msg.sender  == _to )  )   || !success' might not hold at end of function.
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition ' con._allowed[_from ][msg.sender]  <= con_old._allowed[_from ][msg.sender] ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] - _value && success) || ( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] && !success) ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( ( con._balances[_from] ==  con_old._balances[_from] - _value  &&  _from  != _to ) || ( con._balances[_from] ==  con_old._balances[_from] &&  _from == _to ) && success ) || !success ' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  &&  _from  != _to ) || ( con._balances[_to] ==  con_old._balances[_to] &&  _from  == _to ) && success ) || !success ' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
7,251,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:30:5: Postcondition 'con._allowed[_owner][_spender] == remaining' might not hold at end of function.
Refinement::balanceOf_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:34:5: Postcondition 'con._balances[_owner] == balance' might not hold at end of function.
Refinement::approve_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:38:5: Postcondition '(con._allowed[msg.sender ][ _spender] ==  _value  &&  success) || ( con._allowed[msg.sender ][ _spender] ==  con_old._allowed[msg.sender ][ _spender] && !success )    ' might not hold at end of function.
Refinement::transfer_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:43:2: Postcondition '( ( con._balances[msg.sender] ==  con_old._balances[msg.sender] - _value  && msg.sender  != _to ) ||   ( con._balances[msg.sender] ==  con_old._balances[msg.sender] && msg.sender  == _to ) &&  success )   || !success' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:43:2: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  && msg.sender  != _to ) ||   ( con._balances[_to] ==  con_old._balances[_to] && msg.sender  == _to )  )   || !success' might not hold at end of function.
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition ' con._allowed[_from ][msg.sender]  <= con_old._allowed[_from ][msg.sender] ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] - _value && success) || ( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] && !success) ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( ( con._balances[_from] ==  con_old._balances[_from] - _value  &&  _from  != _to ) || ( con._balances[_from] ==  con_old._balances[_from] &&  _from == _to ) && success ) || !success ' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  &&  _from  != _to ) || ( con._balances[_to] ==  con_old._balances[_to] &&  _from  == _to ) && success ) || !success ' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
8,251,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:30:5: Postcondition 'con._allowed[_owner][_spender] == remaining' might not hold at end of function.
Refinement::balanceOf_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:34:5: Postcondition 'con._balances[_owner] == balance' might not hold at end of function.
Refinement::approve_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:38:5: Postcondition '(con._allowed[msg.sender ][ _spender] ==  _value  &&  success) || ( con._allowed[msg.sender ][ _spender] ==  con_old._allowed[msg.sender ][ _spender] && !success )    ' might not hold at end of function.
Refinement::transfer_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:43:2: Postcondition '( ( con._balances[msg.sender] ==  con_old._balances[msg.sender] - _value  && msg.sender  != _to ) ||   ( con._balances[msg.sender] ==  con_old._balances[msg.sender] && msg.sender  == _to ) &&  success )   || !success' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:43:2: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  && msg.sender  != _to ) ||   ( con._balances[_to] ==  con_old._balances[_to] && msg.sender  == _to )  )   || !success' might not hold at end of function.
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  &&  _from  != _to ) || ( con._balances[_to] ==  con_old._balances[_to] &&  _from  == _to ) && success ) || !success ' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] - _value && success) || ( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] && !success) ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '( ( con._balances[_from] ==  con_old._balances[_from] - _value  &&  _from  != _to ) || ( con._balances[_from] ==  con_old._balances[_from] &&  _from == _to ) && success ) || !success ' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
9,251,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:30:5: Postcondition 'con._allowed[_owner][_spender] == remaining' might not hold at end of function.
Refinement::balanceOf_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:34:5: Postcondition 'con._balances[_owner] == balance' might not hold at end of function.
Refinement::approve_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:38:5: Postcondition '(con._allowed[msg.sender ][ _spender] ==  _value  &&  success) || ( con._allowed[msg.sender ][ _spender] ==  con_old._allowed[msg.sender ][ _spender] && !success )    ' might not hold at end of function.
Refinement::transfer_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:43:2: Postcondition '( ( con._balances[msg.sender] ==  con_old._balances[msg.sender] - _value  && msg.sender  != _to ) ||   ( con._balances[msg.sender] ==  con_old._balances[msg.sender] && msg.sender  == _to ) &&  success )   || !success' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:43:2: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  && msg.sender  != _to ) ||   ( con._balances[_to] ==  con_old._balances[_to] && msg.sender  == _to )  )   || !success' might not hold at end of function.
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition ' con._allowed[_from ][msg.sender]  <= con_old._allowed[_from ][msg.sender] ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] - _value && success) || ( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] && !success) ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( ( con._balances[_from] ==  con_old._balances[_from] - _value  &&  _from  != _to ) || ( con._balances[_from] ==  con_old._balances[_from] &&  _from == _to ) && success ) || !success ' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:50:5: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  &&  _from  != _to ) || ( con._balances[_to] ==  con_old._balances[_to] &&  _from  == _to ) && success ) || !success ' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
10,251,"Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::allowance_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:30:5: Postcondition 'con._allowed[_owner][_spender] == remaining' might not hold at end of function.
Refinement::balanceOf_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:34:5: Postcondition 'con._balances[_owner] == balance' might not hold at end of function.
Refinement::approve_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:38:5: Postcondition '(con._allowed[msg.sender ][ _spender] ==  _value  &&  success) || ( con._allowed[msg.sender ][ _spender] ==  con_old._allowed[msg.sender ][ _spender] && !success )    ' might not hold at end of function.
Refinement::transfer_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:45:2: Postcondition '( ( con._balances[msg.sender] ==  con_old._balances[msg.sender] - _value  && msg.sender  != _to ) ||   ( con._balances[msg.sender] ==  con_old._balances[msg.sender] && msg.sender  == _to ) &&  success )   || !success' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:45:2: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  && msg.sender  != _to ) ||   ( con._balances[_to] ==  con_old._balances[_to] && msg.sender  == _to )  )   || !success' might not hold at end of function.
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:52:5: Postcondition ' con._allowed[_from ][msg.sender]  <= con_old._allowed[_from ][msg.sender] ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:52:5: Postcondition '( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] - _value && success) || ( con._allowed[_from ][msg.sender] ==  con_old._allowed[_from ][msg.sender] && !success) ||  _from  == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:52:5: Postcondition '( ( con._balances[_from] ==  con_old._balances[_from] - _value  &&  _from  != _to ) || ( con._balances[_from] ==  con_old._balances[_from] &&  _from == _to ) && success ) || !success ' might not hold at end of function.
 - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:52:5: Postcondition '( ( con._balances[_to] ==  con_old._balances[_to] + _value  &&  _from  != _to ) || ( con._balances[_to] ==  con_old._balances[_to] &&  _from  == _to ) && success ) || !success ' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
