function,allowance_post,allowance_post,approve_post,approve_post,balanceOf_post,balanceOf_post,transferFrom_post,transferFrom_post,transfer_post,transfer_post,refines all
option,base_llm,llm_base,base_llm,llm_base,base_llm,llm_base,base_llm,llm_base,base_llm,llm_base,
run,,,,,,,,,,,
1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Yes
2,OK,OK,OK,OK,OK,OK,OK,OK,ERROR,OK,No
3,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Yes
4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Yes
5,OK,OK,OK,OK,OK,OK,OK,ERROR,OK,OK,No
6,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Yes
7,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Yes
8,OK,OK,OK,OK,OK,OK,OK,ERROR,OK,OK,No
9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Yes
10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Yes
