run,status,output
1,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:65:5: Postcondition 'abs._tokenOwner[_tokenId] != address(0)' might not hold at end of function.
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:105:5: Postcondition '( ( abs._ownedTokensCount[_from] ==  abs_old._ownedTokensCount[_from] - 1  &&  _from  != _to ) || ( _from == _to )  ) ' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:105:5: Postcondition '( ( abs._ownedTokensCount[_to] ==  abs_old._ownedTokensCount[_to] + 1  &&  _from  != _to ) || ( _from  == _to ) )' might not hold at end of function.
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:121:5: Postcondition '( ( abs._ownedTokensCount[_from] ==  abs_old._ownedTokensCount[_from] - 1  &&  _from  != _to ) || ( _from == _to )  ) ' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:121:5: Postcondition '( ( abs._ownedTokensCount[_to] ==  abs_old._ownedTokensCount[_to] + 1  &&  _from  != _to ) || ( _from  == _to ) )' might not hold at end of function.
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:138:5: Postcondition '( ( abs._ownedTokensCount[_from] ==  abs_old._ownedTokensCount[_from] - 1  &&  _from  != _to ) || ( _from == _to )  ) ' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:138:5: Postcondition '( ( abs._ownedTokensCount[_to] ==  abs_old._ownedTokensCount[_to] + 1  &&  _from  != _to ) || ( _from  == _to ) )' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
2,0,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
3,0,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
4,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:66:5: Postcondition 'abs._tokenOwner[_tokenId] != address(0)' might not hold at end of function.
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:104:5: Postcondition '( ( abs._ownedTokensCount[_from] ==  abs_old._ownedTokensCount[_from] - 1  &&  _from  != _to ) || ( _from == _to )  ) ' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:104:5: Postcondition '( ( abs._ownedTokensCount[_to] ==  abs_old._ownedTokensCount[_to] + 1  &&  _from  != _to ) || ( _from  == _to ) )' might not hold at end of function.
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:118:5: Postcondition '( ( abs._ownedTokensCount[_from] ==  abs_old._ownedTokensCount[_from] - 1  &&  _from  != _to ) || ( _from == _to )  ) ' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:118:5: Postcondition '( ( abs._ownedTokensCount[_to] ==  abs_old._ownedTokensCount[_to] + 1  &&  _from  != _to ) || ( _from  == _to ) )' might not hold at end of function.
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:133:5: Postcondition '( ( abs._ownedTokensCount[_from] ==  abs_old._ownedTokensCount[_from] - 1  &&  _from  != _to ) || ( _from == _to )  ) ' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:133:5: Postcondition '( ( abs._ownedTokensCount[_to] ==  abs_old._ownedTokensCount[_to] + 1  &&  _from  != _to ) || ( _from  == _to ) )' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
5,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:66:5: Postcondition 'abs._tokenOwner[_tokenId] != address(0)' might not hold at end of function.
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
6,0,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
No errors found.
"
7,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:65:5: Postcondition 'abs._tokenOwner[_tokenId] != address(0)' might not hold at end of function.
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:102:5: Postcondition '( ( abs._ownedTokensCount[_from] ==  abs_old._ownedTokensCount[_from] - 1  &&  _from  != _to ) || ( _from == _to )  ) ' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:102:5: Postcondition '( ( abs._ownedTokensCount[_to] ==  abs_old._ownedTokensCount[_to] + 1  &&  _from  != _to ) || ( _from  == _to ) )' might not hold at end of function.
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:115:5: Postcondition '( ( abs._ownedTokensCount[_from] ==  abs_old._ownedTokensCount[_from] - 1  &&  _from  != _to ) || ( _from == _to )  ) ' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:115:5: Postcondition '( ( abs._ownedTokensCount[_to] ==  abs_old._ownedTokensCount[_to] + 1  &&  _from  != _to ) || ( _from  == _to ) )' might not hold at end of function.
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:129:5: Postcondition '( ( abs._ownedTokensCount[_from] ==  abs_old._ownedTokensCount[_from] - 1  &&  _from  != _to ) || ( _from == _to )  ) ' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:129:5: Postcondition '( ( abs._ownedTokensCount[_to] ==  abs_old._ownedTokensCount[_to] + 1  &&  _from  != _to ) || ( _from  == _to ) )' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
8,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:109:5: Postcondition '( ( abs._ownedTokensCount[_from] ==  abs_old._ownedTokensCount[_from] - 1  &&  _from  != _to ) || ( _from == _to )  ) ' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:109:5: Postcondition '( ( abs._ownedTokensCount[_to] ==  abs_old._ownedTokensCount[_to] + 1  &&  _from  != _to ) || ( _from  == _to ) )' might not hold at end of function.
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:124:5: Postcondition '( ( abs._ownedTokensCount[_from] ==  abs_old._ownedTokensCount[_from] - 1  &&  _from  != _to ) || ( _from == _to )  ) ' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:124:5: Postcondition '( ( abs._ownedTokensCount[_to] ==  abs_old._ownedTokensCount[_to] + 1  &&  _from  != _to ) || ( _from  == _to ) )' might not hold at end of function.
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:140:5: Postcondition '( ( abs._ownedTokensCount[_from] ==  abs_old._ownedTokensCount[_from] - 1  &&  _from  != _to ) || ( _from == _to )  ) ' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:140:5: Postcondition '( ( abs._ownedTokensCount[_to] ==  abs_old._ownedTokensCount[_to] + 1  &&  _from  != _to ) || ( _from  == _to ) )' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
9,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:65:5: Postcondition 'abs._tokenOwner[_tokenId] != address(0)' might not hold at end of function.
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
10,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:105:5: Postcondition '( ( abs._ownedTokensCount[_from] ==  abs_old._ownedTokensCount[_from] - 1  &&  _from  != _to ) || ( _from == _to )  ) ' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:105:5: Postcondition '( ( abs._ownedTokensCount[_to] ==  abs_old._ownedTokensCount[_to] + 1  &&  _from  != _to ) || ( _from  == _to ) )' might not hold at end of function.
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:120:5: Postcondition '( ( abs._ownedTokensCount[_from] ==  abs_old._ownedTokensCount[_from] - 1  &&  _from  != _to ) || ( _from == _to )  ) ' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:120:5: Postcondition '( ( abs._ownedTokensCount[_to] ==  abs_old._ownedTokensCount[_to] + 1  &&  _from  != _to ) || ( _from  == _to ) )' might not hold at end of function.
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:136:5: Postcondition '( ( abs._ownedTokensCount[_from] ==  abs_old._ownedTokensCount[_from] - 1  &&  _from  != _to ) || ( _from == _to )  ) ' might not hold at end of function.
 - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:136:5: Postcondition '( ( abs._ownedTokensCount[_to] ==  abs_old._ownedTokensCount[_to] + 1  &&  _from  != _to ) || ( _from  == _to ) )' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
