run,time_taken,iterations,verified,annotated_contract,status
1,520.340653181076,10,False,,"[""Interaction: 5\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:36:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:48:5: Postcondition '_owner != address(0) ' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:62:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:62:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:76:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:76:5: Postcondition '_balances[msg.sender] == __verifier_old_uint ( _balances[msg.sender] ) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:113:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:113:5: Postcondition '_balances[_from] == __verifier_old_uint ( _balances[_from] ) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:113:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 6\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:36:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:48:5: Postcondition '_owner != address(0) ' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:62:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:62:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:76:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:76:5: Postcondition '_balances[msg.sender] == __verifier_old_uint ( _balances[msg.sender] ) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:113:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:113:5: Postcondition '_balances[_from] == __verifier_old_uint ( _balances[_from] ) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:113:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 7\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:36:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:48:5: Postcondition '_owner != address(0) ' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:62:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:62:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:76:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:76:5: Postcondition '_balances[msg.sender] == __verifier_old_uint ( _balances[msg.sender] ) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:113:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:113:5: Postcondition '_balances[_from] == __verifier_old_uint ( _balances[_from] ) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:113:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 8\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:36:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:48:5: Postcondition '_owner != address(0) ' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:62:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:62:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:76:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:76:5: Postcondition '_balances[msg.sender] == __verifier_old_uint ( _balances[msg.sender] ) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:113:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:113:5: Postcondition '_balances[_from] == __verifier_old_uint ( _balances[_from] ) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:113:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 10\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:36:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:48:5: Postcondition '_owner != address(0) ' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:62:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:62:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:76:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:76:5: Postcondition '_balances[msg.sender] == __verifier_old_uint ( _balances[msg.sender] ) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:113:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:113:5: Postcondition '_balances[_from] == __verifier_old_uint ( _balances[_from] ) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:113:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n""]"
2,152.0127193927765,10,False,,[]
3,142.33108758926392,10,False,,[]
4,193.63619184494019,10,False,,[]
5,307.3469121456146,10,False,,"[""Interaction: 4\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply == 0 || ( _balances[address(this)] == _totalSupply )' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '_owner != address(0) ' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] == __verifier_old_uint ( _balances[msg.sender] ) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] == __verifier_old_uint ( _balances[_from] ) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 5\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply == 0 || ( _balances[address(this)] == _totalSupply )' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '_owner != address(0) ' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] == __verifier_old_uint ( _balances[msg.sender] ) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] == __verifier_old_uint ( _balances[_from] ) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 6\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply == 0 || ( _balances[address(this)] == _totalSupply )' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '_owner != address(0) ' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] == __verifier_old_uint ( _balances[msg.sender] ) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] == __verifier_old_uint ( _balances[_from] ) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 7\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply == 0 || ( _balances[address(this)] == _totalSupply )' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '_owner != address(0) ' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] == __verifier_old_uint ( _balances[msg.sender] ) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] == __verifier_old_uint ( _balances[_from] ) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 8\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply == 0 || ( _balances[address(this)] == _totalSupply )' might not hold at end of function.\nERC20::balanceOf: TIMEOUT\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: TIMEOUT\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] == __verifier_old_uint ( _balances[_from] ) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: TIMEOUT\nIERC20::[implicit_constructor]: OK\nInconclusive results.\nErrors were found by the verifier.\n\n"", ""Interaction: 9\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply == 0 || ( _balances[address(this)] == _totalSupply )' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '_owner != address(0) ' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] == __verifier_old_uint ( _balances[msg.sender] ) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] == __verifier_old_uint ( _balances[_from] ) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n""]"
6,134.56274366378784,10,False,,[]
7,148.03966879844666,10,False,,[]
8,131.70884895324707,10,False,,[]
9,127.35443067550659,10,False,,[]
10,189.5581078529358,10,False,,[]
