run,time_taken,iterations,verified,annotated_contract,status
1,140.36873269081116,10,False,,[]
2,168.77821445465088,10,False,,"[""Interaction: 3\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:36:5: Postcondition '_totalSupply == 0 || _balances[address(this)] == _totalSupply' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:48:5: Postcondition '_owner != address(0)' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:62:5: Postcondition '_owner != address(0)' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:62:5: Postcondition '_spender != address(0)' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:76:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:76:5: Postcondition '_balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] == __verifier_old_uint(_balances[_from]) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 8\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:36:5: Postcondition '_totalSupply == 0 || _balances[address(this)] == _totalSupply' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:48:5: Postcondition '_owner != address(0)' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:62:5: Postcondition '_owner != address(0)' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:62:5: Postcondition '_spender != address(0)' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:76:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:76:5: Postcondition '_balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] == __verifier_old_uint(_balances[_from]) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n""]"
3,175.71625757217407,10,False,,"[""Interaction: 1\nERC20::totalSupply: OK\nERC20::balanceOf: OK\nERC20::allowance: OK\nERC20::transfer: OK\nERC20::approve: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:87:5: Postcondition '(_allowed[msg.sender][_spender] == _value && msg.sender != _spender) || (_allowed[msg.sender][_spender] == __verifier_old_uint(_allowed[msg.sender][_spender]) && msg.sender == _spender)' might not hold at end of function.\nERC20::transferFrom: OK\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 5\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply == 0 || _balances[address(this)] == _totalSupply' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '_owner != address(0) ' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] == __verifier_old_uint(_balances[_from]) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 9\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply == 0 || _balances[address(this)] == _totalSupply' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '_owner != address(0) ' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] == __verifier_old_uint(_balances[_from]) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n""]"
4,145.97336626052856,10,False,,[]
5,164.52275037765503,10,False,,"[""Interaction: 4\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply == 0 || _balances[address(this)] == _totalSupply' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '_owner != address(0) ' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] == __verifier_old_uint(_balances[_from]) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 6\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply == 0 || _balances[address(this)] == _totalSupply' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '_owner != address(0) ' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] == __verifier_old_uint(_balances[_from]) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 10\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply == 0 || _balances[address(this)] == _totalSupply' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '_owner != address(0) ' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] == __verifier_old_uint(_balances[_from]) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n""]"
6,136.6603512763977,10,False,,[]
7,135.6802659034729,10,False,,"[""Interaction: 9\nERC20::totalSupply: OK\nERC20::balanceOf: OK\nERC20::allowance: OK\nERC20::transfer: OK\nERC20::approve: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:87:5: Postcondition '(_allowed[msg.sender][_spender] == _value && msg.sender != _spender) || (_allowed[msg.sender][_spender] == __verifier_old_uint(_allowed[msg.sender][_spender]) && msg.sender == _spender)' might not hold at end of function.\nERC20::transferFrom: OK\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n""]"
8,138.56371760368347,7,False,,"[""Interaction: 4\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply == 0 || _balances[address(this)] == _totalSupply' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '_owner != address(0)' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_owner != address(0)' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_spender != address(0)' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] == __verifier_old_uint(_balances[_from]) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 6\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply == 0 || _balances[address(this)] == _totalSupply' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '_owner != address(0)' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_owner != address(0)' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_spender != address(0)' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] == __verifier_old_uint(_balances[_from]) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n""]"
9,146.69191575050354,10,False,,[]
10,195.9699730873108,10,False,,"[""Interaction: 6\nERC20::totalSupply: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply >= 0' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:37:5: Postcondition '_totalSupply == 0 || _balances[address(this)] == _totalSupply' might not hold at end of function.\nERC20::balanceOf: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:49:5: Postcondition '_owner != address(0) ' might not hold at end of function.\nERC20::allowance: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_owner != address(0) ' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:63:5: Postcondition '_spender != address(0) ' might not hold at end of function.\nERC20::transfer: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:77:5: Postcondition '_balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value' might not hold at end of function.\nERC20::approve: OK\nERC20::transferFrom: ERROR\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_allowed[_from][msg.sender] >= _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] == __verifier_old_uint(_balances[_from]) - _value' might not hold at end of function.\n - ./solc_verify_generator/ERC20/imp/ERC20_merge.sol:114:5: Postcondition '_balances[_from] >= _value' might not hold at end of function.\nERC20::increaseAllowance: OK\nERC20::decreaseAllowance: OK\nERC20::[implicit_constructor]: OK\nIERC20::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n""]"
