run,time_taken,iterations,verified,annotated_contract,status
1,329.4303312301636,10,False,,[]
2,363.8766324520111,10,False,,[]
3,365.10287046432495,10,False,,[]
4,213.1215500831604,10,False,,"[""Interaction: 1\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: OK\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:86:5: Postcondition '_operatorApprovals[_owner][_operator] == true' might not hold at end of function.\nERC721::transferFrom: OK\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n""]"
5,236.04160451889038,10,False,,[]
6,237.4278244972229,10,False,,[]
7,220.76646876335144,10,False,,[]
8,285.96953678131104,10,False,,[]
9,198.68323922157288,10,False,,[]
10,412.92800068855286,10,False,,[]
