run,time_taken,iterations,verified,annotated_contract,status
1,282.5719256401062,10,False,,[]
2,199.88589668273926,7,False,,[]
3,156.88381218910217,10,False,,[]
4,304.99290466308594,10,False,,"[""Interaction: 4\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: OK\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:86:5: Postcondition '_operatorApprovals[_owner][_operator] == true' might not hold at end of function.\nERC721::transferFrom: OK\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 5\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:59:5: Postcondition 'msg.sender == _tokenOwner[_tokenId] || _operatorApprovals[_tokenOwner[_tokenId]][msg.sender]' might not hold at end of function.\nERC721::getApproved: OK\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: OK\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:95:5: Postcondition '_from == msg.sender || _operatorApprovals[_from][msg.sender] || _tokenApprovals[_tokenId] == msg.sender' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 6\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:59:5: Postcondition 'msg.sender == _tokenOwner[_tokenId] || _operatorApprovals[_tokenOwner[_tokenId]][msg.sender]' might not hold at end of function.\nERC721::getApproved: OK\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: OK\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:95:5: Postcondition '_from == msg.sender || _operatorApprovals[_from][msg.sender] || _tokenApprovals[_tokenId] == msg.sender' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 7\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:59:5: Postcondition 'msg.sender == _tokenOwner[_tokenId] || _operatorApprovals[_tokenOwner[_tokenId]][msg.sender]' might not hold at end of function.\nERC721::getApproved: OK\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: OK\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:95:5: Postcondition '_from == msg.sender || _operatorApprovals[_from][msg.sender] || _tokenApprovals[_tokenId] == msg.sender' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 8\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:59:5: Postcondition 'msg.sender == _tokenOwner[_tokenId] || _operatorApprovals[_tokenOwner[_tokenId]][msg.sender]' might not hold at end of function.\nERC721::getApproved: OK\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: OK\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:95:5: Postcondition '_from == msg.sender || _operatorApprovals[_from][msg.sender] || _tokenApprovals[_tokenId] == msg.sender' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 9\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:59:5: Postcondition 'msg.sender == _tokenOwner[_tokenId] || _operatorApprovals[_tokenOwner[_tokenId]][msg.sender]' might not hold at end of function.\nERC721::getApproved: OK\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: OK\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:95:5: Postcondition '_from == msg.sender || _operatorApprovals[_from][msg.sender] || _tokenApprovals[_tokenId] == msg.sender' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 10\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:59:5: Postcondition 'msg.sender == _tokenOwner[_tokenId] || _operatorApprovals[_tokenOwner[_tokenId]][msg.sender]' might not hold at end of function.\nERC721::getApproved: OK\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: OK\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:95:5: Postcondition '_from == msg.sender || _operatorApprovals[_from][msg.sender] || _tokenApprovals[_tokenId] == msg.sender' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n""]"
5,311.5783529281616,10,False,,"[""Interaction: 2\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: OK\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:86:5: Postcondition '_operatorApprovals[_owner][_operator] == true' might not hold at end of function.\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:94:5: Postcondition '_tokenOwner[_tokenId] == _to && _ownedTokensCount[_from] == __verifier_old_uint(_ownedTokensCount[_from]) - 1' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 8\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: OK\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:87:5: Postcondition '_operatorApprovals[_owner][_operator] == true' might not hold at end of function.\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:87:5: Postcondition '_operatorApprovals[_owner][_operator] == false && !_operatorApprovals[_owner][_operator]' might not hold at end of function.\nERC721::transferFrom: OK\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n""]"
6,192.2098264694214,10,False,,[]
7,237.9140853881836,10,False,,[]
8,655.0865795612335,10,False,,"[""Interaction: 3\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: OK\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:85:5: Postcondition '_operatorApprovals[_owner][_operator] == true' might not hold at end of function.\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:93:5: Postcondition '_tokenOwner[_tokenId] == _to && __verifier_old_uint(_ownedTokensCount[_from]) == _ownedTokensCount[_from] - 1 && _from != _to' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 5\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: OK\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:85:5: Postcondition '_operatorApprovals[_owner][_operator] == true' might not hold at end of function.\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:93:5: Postcondition '_tokenOwner[_tokenId] == _to && __verifier_old_uint(_ownedTokensCount[_from]) == _ownedTokensCount[_from] - (_from == _to ? 0 : 1) && _from != address(0)' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 7\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: OK\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:85:5: Postcondition '_operatorApprovals[_owner][_operator] == true' might not hold at end of function.\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:93:5: Postcondition '_tokenOwner[_tokenId] == _to && __verifier_old_uint(_ownedTokensCount[_from]) == _ownedTokensCount[_from] - (_from != _to ? 1 : 0) && _from != address(0)' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 9\nERC165::supportsInterface: OK\nERC721::[constructor]: OK\nERC721::balanceOf: OK\nERC721::ownerOf: OK\nERC721::approve: OK\nERC721::getApproved: OK\nERC721::setApprovalForAll: OK\nERC721::isApprovedForAll: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:85:5: Postcondition '_operatorApprovals[_owner][_operator] == true' might not hold at end of function.\nERC721::transferFrom: ERROR\n - ./solc_verify_generator/ERC721/imp/ERC721_merge.sol:93:5: Postcondition '_tokenOwner[_tokenId] == _to && __verifier_old_uint(_ownedTokensCount[_from]) == _ownedTokensCount[_from] - (_from != _to ? 1 : 0) && _from != address(0)' might not hold at end of function.\nERC721::safeTransferFrom: OK\nERC721::safeTransferFrom: OK\nIERC165::[implicit_constructor]: OK\nIERC721Receiver::[implicit_constructor]: OK\nUse --show-warnings to see 3 warnings.\nErrors were found by the verifier.\n\n""]"
9,396.80928325653076,10,False,,[]
10,149.12448143959045,10,False,,[]
