run,time_taken,iterations,verified,annotated_contract,status
1,237.91188216209412,10,False,,[]
2,45.5766339302063,2,False,,[]
3,202.90925192832947,10,False,,[]
4,286.1815218925476,10,False,,"[""Interaction: 2\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:86:5: Postcondition 'forall (uint i) 0 <= i && i < _owners.length || batchBalances[i] == _balances[_ids[i]][_owners[i]]' might not hold at end of function.\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:117:5: Postcondition '!( _approved && __verifier_old_bool(_operatorApprovals[msg.sender][_operator])) ' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:117:5: Postcondition '!(_approved) || ( __verifier_old_bool(_operatorApprovals[msg.sender][_operator]) )' might not hold at end of function.\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:137:5: Postcondition '_value <= _balances[_id][_from] || (_from == _to)' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:161:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] == __verifier_old_uint(_balances[_ids[i]][_from]) - _values[i]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:161:5: Postcondition 'forall (uint i) _balances[_ids[i]][_to] == __verifier_old_uint(_balances[_ids[i]][_to]) + _values[i] || _from == _to' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 3\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:86:5: Postcondition 'forall (uint i) batchBalances[i] == _balances[_ids[i]][_owners[i]] || _owners[i] != _owners[i]' might not hold at end of function.\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:117:5: Postcondition '!( _approved && __verifier_old_bool(_operatorApprovals[msg.sender][_operator])) ' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:117:5: Postcondition '!(_approved) || ( __verifier_old_bool(_operatorApprovals[msg.sender][_operator]) )' might not hold at end of function.\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:137:5: Postcondition '_from == _to || _value <= _balances[_id][_from]' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] == __verifier_old_uint(_balances[_ids[i]][_from]) - _values[i]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] >= _values[i]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _balances[_ids[i]][_to] == __verifier_old_uint(_balances[_ids[i]][_to]) + _values[i] || _from == _to' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 4\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:117:5: Postcondition '_approved || __verifier_old_bool(_operatorApprovals[msg.sender][_operator])' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:117:5: Postcondition '!(_approved && __verifier_old_bool(_operatorApprovals[msg.sender][_operator])) ' might not hold at end of function.\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:137:5: Postcondition '_from == _to || _value <= _balances[_id][_from]' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] >= _values[i]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] == __verifier_old_uint(_balances[_ids[i]][_from]) - _values[i]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _balances[_ids[i]][_to] == __verifier_old_uint(_balances[_ids[i]][_to]) + _values[i] || _from == _to' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 5\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:117:5: Postcondition '__verifier_old_bool(_operatorApprovals[msg.sender][_operator]) || !_approved' might not hold at end of function.\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:137:5: Postcondition '_from == _to || _value <= _balances[_id][_from]' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] >= _values[i]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] == __verifier_old_uint(_balances[_ids[i]][_from]) - _values[i]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _balances[_ids[i]][_to] == __verifier_old_uint(_balances[_ids[i]][_to]) + _values[i] || _from == _to' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 6\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:116:5: Postcondition '_approved || !__verifier_old_bool(_operatorApprovals[msg.sender][_operator])' might not hold at end of function.\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:136:5: Postcondition '_from == _to || _value <= _balances[_id][_from]' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:161:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] >= _values[i]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:161:5: Postcondition 'forall (uint i) _balances[_ids[i]][_to] == __verifier_old_uint(_balances[_ids[i]][_to]) + _values[i] || _from == _to' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:161:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] == __verifier_old_uint(_balances[_ids[i]][_from]) - _values[i]' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 7\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:116:5: Postcondition '__verifier_old_bool(_operatorApprovals[msg.sender][_operator]) || !_approved' might not hold at end of function.\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:137:5: Postcondition '_from == _to || _value <= _balances[_id][_from]' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] == __verifier_old_uint(_balances[_ids[i]][_from]) - _values[i]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] >= _values[i]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _balances[_ids[i]][_to] == __verifier_old_uint(_balances[_ids[i]][_to]) + _values[i] || _from == _to' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 8\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:116:5: Postcondition '_approved || __verifier_old_bool(_operatorApprovals[msg.sender][_operator])' might not hold at end of function.\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:137:5: Postcondition '_from == _to || _value <= _balances[_id][_from]' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] >= _values[i]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] == __verifier_old_uint(_balances[_ids[i]][_from]) - _values[i]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _balances[_ids[i]][_to] == __verifier_old_uint(_balances[_ids[i]][_to]) + _values[i] || _from == _to' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 9\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:116:5: Postcondition '__verifier_old_bool(_operatorApprovals[msg.sender][_operator]) || !_approved' might not hold at end of function.\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:136:5: Postcondition '_from == _to || _value <= _balances[_id][_from]' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:160:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] >= _values[i]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:160:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] == __verifier_old_uint(_balances[_ids[i]][_from]) - _values[i]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:160:5: Postcondition 'forall (uint i) _balances[_ids[i]][_to] == __verifier_old_uint(_balances[_ids[i]][_to]) + _values[i] || _from == _to' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n"", ""Interaction: 10\nContext::[implicit_constructor]: OK\nERC1155::[constructor]: OK\nERC1155::uri: OK\nERC1155::balanceOf: OK\nERC1155::balanceOfBatch: OK\nERC1155::setApprovalForAll: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:116:5: Postcondition '__verifier_old_bool(_operatorApprovals[msg.sender][_operator]) || !_approved' might not hold at end of function.\nERC1155::isApprovedForAll: OK\nERC1155::safeTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:137:5: Postcondition '_from == _to || _value <= _balances[_id][_from]' might not hold at end of function.\nERC1155::safeBatchTransferFrom: ERROR\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] == __verifier_old_uint(_balances[_ids[i]][_from]) - _values[i]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_from] >= _values[i]' might not hold at end of function.\n - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:162:5: Postcondition 'forall (uint i) _from == _to || _balances[_ids[i]][_to] == __verifier_old_uint(_balances[_ids[i]][_to]) + _values[i]' might not hold at end of function.\nERC165::supportsInterface: OK\nERC165::[implicit_constructor]: OK\nIERC1155::[implicit_constructor]: OK\nIERC1155MetadataURI::[implicit_constructor]: OK\nIERC1155Receiver::[implicit_constructor]: OK\nIERC165::[implicit_constructor]: OK\nUse --show-warnings to see 18 warnings.\nErrors were found by the verifier.\n\n""]"
5,236.14490175247192,10,False,,[]
6,238.25515127182007,10,False,,[]
7,203.2246425151825,10,False,,[]
8,271.4937467575073,10,False,,[]
9,224.76909685134888,10,False,,[]
10,211.15362071990967,10,False,,[]
